name,category,supplier_id,price,product_id,quantity,expiry_date,is_fast_selling,shelf_location_id,image_url
Halal Certified Meats (Goat Meat 1Kg),Meat,S005,20000,P0075,10,21-09-25,False,SL0075,https://example.com/product_halal_certified_meats_(goat_meat_1kg).png
Coca-Cola (500Ml),Beverages,S004,2500,P0076,190,21-10-25,False,SL0076,https://example.com/product_coca-cola_(500ml).png
Coca-Cola (1.25 Liter),Beverages,S004,4500,P0077,120,24-10-25,True,SL0077,https://example.com/product_coca-cola_(125_liter).png
Pepsi (500Ml),Beverages,S004,2500,P0078,140,23-04-26,True,SL0078,https://example.com/product_pepsi_(500ml).png
Pepsi (1.25 Liter),Beverages,S004,4500,P0079,119,24-05-26,True,SL0079,https://example.com/product_pepsi_(125_liter).png
Fanta (500Ml),Beverages,S004,2500,P0080,108,16-08-25,False,SL0080,https://example.com/product_fanta_(500ml).png
Fanta (1.25 Liter),Beverages,S004,4500,P0081,197,13-11-25,False,SL0081,https://example.com/product_fanta_(125_liter).png
Sprite (500Ml),Beverages,S004,2500,P0082,89,23-08-25,True,SL0082,https://example.com/product_sprite_(500ml).png
Sprite (1.25 Liter),Beverages,S004,4500,P0083,138,06-11-25,True,SL0083,https://example.com/product_sprite_(125_liter).png
Mirinda (500Ml),Beverages,S004,2500,P0084,76,25-01-26,True,SL0084,https://example.com/product_mirinda_(500ml).png
Mirinda (1.25 Liter),Beverages,S004,4500,P0085,51,10-04-26,True,SL0085,https://example.com/product_mirinda_(125_liter).png
Schweppes (Tonic 500Ml),Beverages,S004,3000,P0086,196,15-09-25,False,SL0086,https://example.com/product_schweppes_(tonic_500ml).png
Stoney Tangawizi (500Ml),Beverages,S004,2500,P0087,125,12-06-26,False,SL0087,https://example.com/product_stoney_tangawizi_(500ml).png
Krest (Bitter Lemon 500Ml),Beverages,S004,2800,P0088,198,11-09-25,False,SL0088,https://example.com/product_krest_(bitter_lemon_500ml).png
7 Up (500Ml),Beverages,S004,2500,P0089,171,27-06-26,True,SL0089,https://example.com/product_7_up_(500ml).png
Minute Maid (Juices) (1 Liter),Beverages,S004,9000,P0090,194,17-04-26,False,SL0090,https://example.com/product_minute_maid_(juices)_(1_liter).png
Minute Maid (Juices) (300Ml),Beverages,S004,3000,P0091,186,24-03-26,False,SL0091,https://example.com/product_minute_maid_(juices)_(300ml).png
Chivita (Juices) (1 Liter),Beverages,S004,8500,P0092,52,25-01-26,False,SL0092,https://example.com/product_chivita_(juices)_(1_liter).png
Chivita (Juices) (200Ml),Beverages,S004,2500,P0093,143,03-08-25,True,SL0093,https://example.com/product_chivita_(juices)_(200ml).png
Rite Foods (Soft Drinks) (Bigi Cola 600Ml),Beverages,S004,2000,P0094,178,09-10-25,False,SL0094,https://example.com/product_rite_foods_(soft_drinks)_(bigi_cola_600ml).png
Fan Yoghurt Drink (300Ml),Beverages,S004,2500,P0095,58,08-05-26,True,SL0095,https://example.com/product_fan_yoghurt_drink_(300ml).png
Malta Guinness (330Ml Can),Beverages,S004,3500,P0096,124,06-10-25,False,SL0096,https://example.com/product_malta_guinness_(330ml_can).png
Amstel Malt (330Ml Can),Beverages,S004,3000,P0097,86,18-12-25,True,SL0097,https://example.com/product_amstel_malt_(330ml_can).png
Orijin (Herbal Alcoholic/Non-Alcoholic) (Non Alcoholic 330Ml),Beverages,S004,3800,P0098,28,30-06-26,False,SL0098,https://example.com/product_orijin_(herbal_alcoholic/non-alcoholic)_(non_alcoholic_330ml).png
Valpre (Water) (500Ml),Beverages,S004,2000,P0099,184,17-04-26,True,SL0099,https://example.com/product_valpre_(water)_(500ml).png
Valpre (Water) (1.5 Liter),Beverages,S004,3500,P0100,60,28-02-26,True,SL0100,https://example.com/product_valpre_(water)_(15_liter).png
Bonaqua (Water) (500Ml),Beverages,S004,1800,P0101,84,27-09-25,False,SL0101,https://example.com/product_bonaqua_(water)_(500ml).png
Bonaqua (Water) (1.5 Liter),Beverages,S004,3200,P0102,68,23-02-26,False,SL0102,https://example.com/product_bonaqua_(water)_(15_liter).png
Dasani (Water) (500Ml),Beverages,S004,2000,P0103,72,12-09-25,True,SL0103,https://example.com/product_dasani_(water)_(500ml).png
Dasani (Water) (1.5 Liter),Beverages,S004,3500,P0104,70,09-04-26,False,SL0104,https://example.com/product_dasani_(water)_(15_liter).png
Aquafina (Water) (500Ml),Beverages,S004,2000,P0105,22,27-03-26,False,SL0105,https://example.com/product_aquafina_(water)_(500ml).png
Aquafina (Water) (1.5 Liter),Beverages,S004,3500,P0106,179,21-09-25,True,SL0106,https://example.com/product_aquafina_(water)_(15_liter).png
Highland Water (500Ml),Beverages,S004,1500,P0107,41,01-10-25,True,SL0107,https://example.com/product_highland_water_(500ml).png
Highland Water (1.5 Liter),Beverages,S004,2800,P0108,92,04-09-25,False,SL0108,https://example.com/product_highland_water_(15_liter).png
Schweppes Soda Water (500Ml),Beverages,S004,3000,P0109,36,28-11-25,False,SL0109,https://example.com/product_schweppes_soda_water_(500ml).png
Twist (Juice/Soft Drink) (500Ml),Beverages,S004,2500,P0110,112,28-12-25,True,SL0110,https://example.com/product_twist_(juice/soft_drink)_(500ml).png
Red Bull (Energy Drink) (250Ml),Beverages,S004,7000,P0111,23,28-07-25,False,SL0111,https://example.com/product_red_bull_(energy_drink)_(250ml).png
Monster Energy (Energy Drink) (500Ml),Beverages,S004,8000,P0112,28,30-07-25,False,SL0112,https://example.com/product_monster_energy_(energy_drink)_(500ml).png
Power Play (Energy Drink) (250Ml),Beverages,S004,6000,P0113,45,14-05-26,False,SL0113,https://example.com/product_power_play_(energy_drink)_(250ml).png
Bigi Cola  (600Ml),Beverages,S004,2000,P0114,184,09-12-25,False,SL0114,https://example.com/product_bigi_cola__(600ml).png
Lacrima (Water) (500Ml),Beverages,S004,1800,P0115,117,05-09-25,True,SL0115,https://example.com/product_lacrima_(water)_(500ml).png
Rani (Juice) (200Ml),Beverages,S004,2500,P0116,114,06-05-26,True,SL0116,https://example.com/product_rani_(juice)_(200ml).png
Lay's (Chips) (Small Pack),Snacks,S008,3000,P0117,104,03-07-26,True,SL0117,https://example.com/product_lay's_(chips)_(small_pack).png
Lay's (Chips) (Medium Pack),Snacks,S008,6000,P0118,59,27-01-26,True,SL0118,https://example.com/product_lay's_(chips)_(medium_pack).png
Simba Chips (Small Pack),Snacks,S008,2500,P0119,112,05-09-25,False,SL0119,https://example.com/product_simba_chips_(small_pack).png
Simba Chips (Medium Pack),Snacks,S008,5000,P0120,179,23-09-25,False,SL0120,https://example.com/product_simba_chips_(medium_pack).png
NikNaks (Small Pack),Snacks,S008,2000,P0121,155,04-05-26,True,SL0121,https://example.com/product_niknaks_(small_pack).png
Doritos (Medium Pack),Snacks,S008,6500,P0122,170,25-02-26,False,SL0122,https://example.com/product_doritos_(medium_pack).png
Pringles (Can 165G),Snacks,S008,15000,P0123,16,07-07-26,True,SL0123,https://example.com/product_pringles_(can_165g).png
Mr. Bigg's (Fast Food/Snacks) (Meat Pie),Snacks,S008,5000,P0124,134,02-06-26,True,SL0124,https://example.com/product_mr_bigg's_(fast_food/snacks)_(meat_pie).png
Big Bull (Biscuits) (100G Pack),Snacks,S008,1500,P0125,200,06-11-25,True,SL0125,https://example.com/product_big_bull_(biscuits)_(100g_pack).png
Cadbury (Chocolates/Biscuits) (Dairy Milk 80G),Snacks,S008,7000,P0126,101,03-03-26,True,SL0126,https://example.com/product_cadbury_(chocolates/biscuits)_(dairy_milk_80g).png
Cadbury (Chocolates/Biscuits) (Bournville 80G),Snacks,S008,8000,P0127,68,02-09-25,True,SL0127,https://example.com/product_cadbury_(chocolates/biscuits)_(bournville_80g).png
Cadbury (Chocolates/Biscuits) (Oreo 133G),Snacks,S008,4000,P0128,58,13-04-26,False,SL0128,https://example.com/product_cadbury_(chocolates/biscuits)_(oreo_133g).png
Nestlé (Chocolates/Biscuits/Snacks) (Kitkat Finger),Snacks,S008,2500,P0129,172,11-06-26,True,SL0129,https://example.com/product_nestlé_(chocolates/biscuits/snacks)_(kitkat_finger).png
Nestlé (Chocolates/Biscuits/Snacks) (Milkybar 80G),Snacks,S008,6000,P0130,153,16-01-26,True,SL0130,https://example.com/product_nestlé_(chocolates/biscuits/snacks)_(milkybar_80g).png
Nestlé (Chocolates/Biscuits/Snacks) (Maggi Noodles Pack),Snacks,S008,5000,P0131,15,24-04-26,True,SL0131,https://example.com/product_nestlé_(chocolates/biscuits/snacks)_(maggi_noodles_pack).png
Oreo (Biscuits) (133G Pack),Snacks,S008,4000,P0132,195,21-08-25,True,SL0132,https://example.com/product_oreo_(biscuits)_(133g_pack).png
Bournvita (Malt Drink/Snack) (400G),Snacks,S008,18000,P0133,51,08-04-26,True,SL0133,https://example.com/product_bournvita_(malt_drink/snack)_(400g).png
Milo (Malt Drink/Snack) (400G),Snacks,S008,20000,P0134,108,24-11-25,False,SL0134,https://example.com/product_milo_(malt_drink/snack)_(400g).png
Safari Snacks (Nuts/Dried Fruit) (Peanuts 100G),Snacks,S008,4000,P0135,139,28-05-26,True,SL0135,https://example.com/product_safari_snacks_(nuts/dried_fruit)_(peanuts_100g).png
Safari Snacks (Nuts/Dried Fruit) (Cashews 100G),Snacks,S008,10000,P0136,17,02-06-26,False,SL0136,https://example.com/product_safari_snacks_(nuts/dried_fruit)_(cashews_100g).png
Tropika (Fruit Snacks/Drinks) (Fruit Snack Pack),Snacks,S008,3000,P0137,72,20-09-25,True,SL0137,https://example.com/product_tropika_(fruit_snacks/drinks)_(fruit_snack_pack).png
"Snackworks (Biscuits, Crackers) (Crackers 200G)",Snacks,S008,5000,P0138,177,14-12-25,False,SL0138,"https://example.com/product_snackworks_(biscuits,_crackers)_(crackers_200g).png"
"Ulker (Biscuits, Wafers) (Wafer Pack)",Snacks,S008,3000,P0139,111,12-04-26,True,SL0139,"https://example.com/product_ulker_(biscuits,_wafers)_(wafer_pack).png"
Bingo (Chips) (Small Pack),Snacks,S008,2800,P0140,162,26-04-26,False,SL0140,https://example.com/product_bingo_(chips)_(small_pack).png
Chappies (Chewing Gum) (Per Piece),Snacks,S008,200,P0141,124,11-01-26,False,SL0141,https://example.com/product_chappies_(chewing_gum)_(per_piece).png
Stimorol (Chewing Gum) (Pack),Snacks,S008,3500,P0142,116,21-05-26,False,SL0142,https://example.com/product_stimorol_(chewing_gum)_(pack).png
Mentos (Mints) (Roll),Snacks,S008,2000,P0143,185,29-07-25,True,SL0143,https://example.com/product_mentos_(mints)_(roll).png
Trident (Chewing Gum) (Pack),Snacks,S008,4000,P0144,25,26-03-26,False,SL0144,https://example.com/product_trident_(chewing_gum)_(pack).png
"Kellogg's (Corn Flakes, Rice Krispies, etc.) (Corn Flakes 500G)",Cereals,S009,25000,P0145,137,11-04-26,True,SL0145,"https://example.com/product_kellogg's_(corn_flakes,_rice_krispies,_etc)_(corn_flakes_500g).png"
"Kellogg's (Corn Flakes, Rice Krispies, etc.) (Rice Krispies 300G)",Cereals,S009,20000,P0146,44,08-09-25,False,SL0146,"https://example.com/product_kellogg's_(corn_flakes,_rice_krispies,_etc)_(rice_krispies_300g).png"
"Nestlé Cereals (Milo Cereal, Golden Morn, etc.) (Milo Cereal 350G)",Cereals,S009,22000,P0147,20,05-08-25,False,SL0147,"https://example.com/product_nestlé_cereals_(milo_cereal,_golden_morn,_etc)_(milo_cereal_350g).png"
"Nestlé Cereals (Milo Cereal, Golden Morn, etc.) (Golden Morn 500G)",Cereals,S009,18000,P0148,57,15-09-25,False,SL0148,"https://example.com/product_nestlé_cereals_(milo_cereal,_golden_morn,_etc)_(golden_morn_500g).png"
Weetabix (24 Biscuits),Cereals,S009,18000,P0149,87,11-11-25,True,SL0149,https://example.com/product_weetabix_(24_biscuits).png
"Bokomo (Corn Flakes, Oats) (Corn Flakes 500G)",Cereals,S009,20000,P0150,105,18-04-26,True,SL0150,"https://example.com/product_bokomo_(corn_flakes,_oats)_(corn_flakes_500g).png"
"Bokomo (Corn Flakes, Oats) (Oats 500G)",Cereals,S009,15000,P0151,135,28-09-25,False,SL0151,"https://example.com/product_bokomo_(corn_flakes,_oats)_(oats_500g).png"
"Pioneer Foods (Weet-Bix, Corn Flakes) (Weet Bix 450G)",Cereals,S009,17000,P0152,170,23-04-26,False,SL0152,"https://example.com/product_pioneer_foods_(weet-bix,_corn_flakes)_(weet_bix_450g).png"
Tastic Rice (2Kg),Cereals,S009,15000,P0153,17,24-02-26,False,SL0153,https://example.com/product_tastic_rice_(2kg).png
Tastic Rice (5Kg),Cereals,S009,35000,P0154,114,19-07-25,False,SL0154,https://example.com/product_tastic_rice_(5kg).png
Spear Rice (2Kg),Cereals,S009,14000,P0155,102,19-11-25,True,SL0155,https://example.com/product_spear_rice_(2kg).png
Spear Rice (5Kg),Cereals,S009,32000,P0156,136,23-07-25,True,SL0156,https://example.com/product_spear_rice_(5kg).png
"Capwell Industries (Rice, Flour) (Rice 2Kg)",Cereals,S009,13000,P0157,69,06-04-26,True,SL0157,"https://example.com/product_capwell_industries_(rice,_flour)_(rice_2kg).png"
"Capwell Industries (Rice, Flour) (Wheat Flour 2Kg)",Cereals,S009,10000,P0158,199,28-04-26,True,SL0158,"https://example.com/product_capwell_industries_(rice,_flour)_(wheat_flour_2kg).png"
White Star (Super Maize Meal) (2.5Kg),Cereals,S009,12000,P0159,12,03-04-26,False,SL0159,https://example.com/product_white_star_(super_maize_meal)_(25kg).png
White Star (Super Maize Meal) (5Kg),Cereals,S009,23000,P0160,101,09-12-25,False,SL0160,https://example.com/product_white_star_(super_maize_meal)_(5kg).png
Ace (Super Maize Meal) (2.5Kg),Cereals,S009,11500,P0161,199,05-03-26,False,SL0161,https://example.com/product_ace_(super_maize_meal)_(25kg).png
Ace (Super Maize Meal) (5Kg),Cereals,S009,22000,P0162,178,09-12-25,False,SL0162,https://example.com/product_ace_(super_maize_meal)_(5kg).png
"Golden Penny (Semovita, Pasta) (Semovita 1Kg)",Cereals,S009,8000,P0163,51,25-07-25,True,SL0163,"https://example.com/product_golden_penny_(semovita,_pasta)_(semovita_1kg).png"
"Golden Penny (Semovita, Pasta) (Pasta 500G)",Cereals,S009,4000,P0164,118,23-06-26,True,SL0164,"https://example.com/product_golden_penny_(semovita,_pasta)_(pasta_500g).png"
Mama Gold (Rice) (2Kg),Cereals,S009,13500,P0165,189,25-12-25,False,SL0165,https://example.com/product_mama_gold_(rice)_(2kg).png
Mama Gold (Rice) (5Kg),Cereals,S009,30000,P0166,157,14-11-25,False,SL0166,https://example.com/product_mama_gold_(rice)_(5kg).png
Local Farm Produce (Cabbage Per Head),Vegetables,S007,4000,P0167,108,10-03-26,True,SL0167,https://example.com/product_local_farm_produce_(cabbage_per_head).png
Local Farm Produce (Onions 1Kg),Vegetables,S007,5000,P0168,42,22-07-25,False,SL0168,https://example.com/product_local_farm_produce_(onions_1kg).png
Local Farm Produce (Tomatoes 1Kg),Vegetables,S007,6000,P0169,163,13-09-25,False,SL0169,https://example.com/product_local_farm_produce_(tomatoes_1kg).png
Local Farm Produce (Carrots 1Kg),Vegetables,S007,4500,P0170,59,04-02-26,False,SL0170,https://example.com/product_local_farm_produce_(carrots_1kg).png
Fresh Mark (Pre-Packed Salad 200G),Vegetables,S007,7000,P0171,66,24-08-25,True,SL0171,https://example.com/product_fresh_mark_(pre-packed_salad_200g).png
Woolworths (Private Label Organic/Specialty Veg) (Organic Spinach 200G),Vegetables,S007,10000,P0172,192,19-06-26,False,SL0172,https://example.com/product_woolworths_(private_label_organic/specialty_veg)_(organic_spinach_200g).png
